Id,Saran
1,Sudahi gali tutup pinjol mu Jangan sampai semua habis harta mu gali tutup pinjol Tuntas kan semua Supaya tidak habis uang pribadi mu Medan COD jauh tutor Kawal sampai akhir Kita lepaskan galbay backup cloning aman galbay tanpa sebar dat4 tdk sebar ke medsos #pinjol #onweer https://t.co/3bupuw6ICA
2,@Mundiwangi4 kebanyakan main pinjol jadi cari tebusan gratis tanpa usaha.
3,bala banget daftar shopee paylater. selang 1 hari langsung banyak penipu dan marketer pinjol yg nelpon. niat mau dapetin promo lebih deep dengan bayar pake paylater malah dispam anying
4,Untuk yg kejebak pinjol Korban pinjol Cape gali tutup pinjol Sampai menumpuk Sampai pusing gali tutup pinjol Stop bunda tiara solusinya Kami siap bantu galbay dengan aman lepaskan semua Jangan ragu kami solusinya Ingat ank dan keluarga mu #pinjol #LeafsForever https://t.co/CEZXae5azU
5,Galbay pinjol. Ilegaal dengan aman tanpa sebar dat4 Yg tak siap sebar dataa galbay lah dengan amn Stop gali tutup pinjol jangan sampai jual sana sini bunda tiara solusinya Kami siap bantu dan kawal sampai akhir medan COD jauh tutor #pinjol #pinjamanonline #OMATA https://t.co/RPawlaYAl3
6,ğ’‰ğ’†ğ’ğ’ğ’! aku masi open pinpri nominal besar dengan pembayaran cicilan yaa !! bisa buat nutup pinjol or paylater serta bagi yg butuh uang wajib menyertakan bukti keperluannya anw ga menerima cowo so bagi yg mau bisa sung ke wa yg ada di bio yaa #zonauang #pinjamanpribadi
7,@StefanAntonio__ MENCONTOH pimpinan nys iya ya qt ga pernah ke pikiran kok rkyt ind hobby utang ke pinjol
8,@van_Cake20 @FaktaSepakbola Santai. Pemain kita latihan dikejar admin pinjol
9,@chekoutroli Ga percaya pinjol ama muka orang susah himaa
10,Yang kejebak banyak pinjol ileg4l jangan perpanjangan jangan gali tutup galbay sana bunda tiara da tem siap bantu Kita backup dan cloning aman galbay tanpa sebar data Tdk sebar ke kantor Tdk kena bii Kami siap kawal sampai tuntas galbay amn #pinjol #pinjamanonline https://t.co/WgJn96cshJ
11,Semangat kembali hidup normal berani galbay pinjol dengan aman bersama bunda tiara medan https://t.co/R11qKZcEDh
12,Pinpri open ya untuk paylatter/pinjol nominal bisa menyesuaikan
13,@ardisatriawan Mungkin dikiranya pinjol buat hedon padahal mereka pinjol ya buat beli barang2 pokok buat tambal sulam menuju gajian 
14,@paris88sangat Mending main slot ya bang dari pada pinjol wkakaka
15,ada yg bisa gestun pake voc ini ga? lgsg dm fee nya ya #zonauang #gestun #pinjol https://t.co/lGpNp6804Q
16,terancem di jaluki utang wong kena pinjolï¸
17,@JeblukAkun Yesss program pinjol buat byr ukt akhirnya sakseuss 
18,@butterrfly Saya sudah nulis di bio saya muslim Bukan privasi dong soalnya semua orang boleh tau Kamu mau KTP buat apa? Pinjol?? 
